Category,Setting,Current Value,Type,Min,Max,Location,Impact,Priority,Tuning Notes
Tier Classification,watchlistMinVolumeFloor,500,integer,100,5000,ConfigManager:42,Tier threshold,HIGH,"Absolute min for any tier. 300-2000 recommended"
Tier Classification,maxWatchlistSize,100,integer,20,500,ConfigManager:43,System capacity,MEDIUM,"Max watchlist markets. 50-200 recommended"
Tier Classification,watchlistMonitoringIntervalMs,300000,integer,60000,900000,ConfigManager:44,Performance,MEDIUM,"Watchlist check interval (5min). 2-10min range"
Tier Classification,watchlistMinCategoryScore,3,integer,1,10,ConfigManager:48,Watchlist criteria,HIGH,"Min keywords for watchlist. 2-5 recommended"
Tier Classification,watchlistMinOutcomeCount,5,integer,3,20,ConfigManager:49,Watchlist criteria,MEDIUM,"Multi-outcome threshold. 3-10 recommended"
Tier Classification,watchlistMaxDaysToClose,14,integer,3,60,ConfigManager:50,Watchlist criteria,MEDIUM,"Closing soon threshold. 7-30 recommended"
Tier Classification,watchlistRequireMultipleSignals,true,boolean,N/A,N/A,ConfigManager:52,Quality filter,MEDIUM,"Require 2+ signals for watchlist. Usually true"
Tier Classification,activeMonitoringIntervalMs,30000,integer,15000,300000,ConfigManager:57,Performance,CRITICAL,"Active tier check rate (30sec). 15-60sec range"
Tier Classification,activeEnableWebSocket,true,boolean,N/A,N/A,ConfigManager:58,Real-time data,HIGH,"Use WebSocket for active tier. Usually true"
Tier Classification,maxActiveMarkets,200,integer,50,1000,ConfigManager:59,System capacity,HIGH,"Max active tier markets. 100-500 recommended"

Category Volumes,earningsMinVolume,2000,integer,500,20000,ConfigManager:580,Category threshold,HIGH,"Earnings markets threshold. Low-cap edge at 2k+"
Category Volumes,ceoChangesMinVolume,2000,integer,500,20000,ConfigManager:581,Category threshold,HIGH,"Executive turnover threshold"
Category Volumes,mergersMinVolume,5000,integer,1000,50000,ConfigManager:582,Category threshold,HIGH,"M&A markets threshold"
Category Volumes,courtCasesMinVolume,3000,integer,500,30000,ConfigManager:583,Category threshold,HIGH,"Legal outcomes threshold"
Category Volumes,pardonsMinVolume,2000,integer,500,20000,ConfigManager:584,Category threshold,MEDIUM,"Presidential pardons threshold"
Category Volumes,fedMinVolume,10000,integer,2000,100000,ConfigManager:585,Category threshold,HIGH,"Federal Reserve threshold. High volume category"
Category Volumes,economicDataMinVolume,10000,integer,2000,100000,ConfigManager:586,Category threshold,HIGH,"CPI, jobs, GDP threshold"
Category Volumes,politicsMinVolume,10000,integer,2000,100000,ConfigManager:587,Category threshold,CRITICAL,"Elections, legislation threshold. Most liquid"
Category Volumes,sportsAwardsMinVolume,5000,integer,1000,50000,ConfigManager:588,Category threshold,HIGH,"MVP, championships threshold"
Category Volumes,hollywoodAwardsMinVolume,3000,integer,500,30000,ConfigManager:589,Category threshold,MEDIUM,"Oscars, Emmys threshold"
Category Volumes,worldEventsMinVolume,15000,integer,3000,150000,ConfigManager:590,Category threshold,HIGH,"Geopolitical events threshold"
Category Volumes,macroMinVolume,20000,integer,5000,200000,ConfigManager:591,Category threshold,HIGH,"Recession, crash threshold. Very liquid"
Category Volumes,cryptoEventsMinVolume,8000,integer,1000,80000,ConfigManager:592,Category threshold,HIGH,"ETF, mainnet threshold"
Category Volumes,uncategorizedMinVolume,15000,integer,5000,100000,ConfigManager:593,Category threshold,CRITICAL,"Default threshold. Conservative"

Performance,maxConcurrentRequests,10,integer,1,50,detection-config.json:176,System performance,MEDIUM,"API concurrency. 5-20 recommended"
Performance,requestTimeoutMs,15000,integer,5000,60000,detection-config.json:177,Reliability,MEDIUM,"API timeout (15sec). 10-30sec range"
Performance,retryAttempts,3,integer,1,10,detection-config.json:178,Reliability,LOW,"Failed request retries. 2-5 recommended"
Performance,backoffMultiplier,2,integer,1,5,detection-config.json:179,Reliability,LOW,"Exponential backoff. 1.5-3 recommended"
Performance,maxHistoricalDataPoints,10000,integer,1000,100000,detection-config.json:182,Memory management,MEDIUM,"Historical data limit. Adjust per RAM"
Performance,cleanupIntervalMs,300000,integer,60000,1800000,detection-config.json:183,Memory management,LOW,"Cleanup interval (5min). 2-15min range"
Performance,maxRingBufferSize,1000,integer,100,10000,detection-config.json:184,Memory management,MEDIUM,"Ring buffer size. 500-2000 recommended"
Performance,gcThresholdMb,512,integer,256,2048,detection-config.json:185,Memory management,LOW,"GC trigger threshold. Adjust per RAM"
Performance,connectionPoolSize,5,integer,1,20,detection-config.json:188,Database,MEDIUM,"DB connections. 3-10 recommended"
Performance,queryTimeoutMs,30000,integer,5000,120000,detection-config.json:189,Database,MEDIUM,"Query timeout (30sec). 15-60sec range"
Performance,batchSize,100,integer,10,1000,detection-config.json:190,Database,LOW,"Batch insert size. 50-500 recommended"
Performance,vacuumIntervalMs,86400000,integer,3600000,604800000,detection-config.json:191,Database,LOW,"SQLite vacuum (1 day). 12hr-7day range"
Performance,maxWebSocketConnections,50,integer,10,200,detection-config.json:194,WebSocket,MEDIUM,"Max WS connections. 20-100 recommended"
Performance,heartbeatIntervalMs,30000,integer,10000,120000,detection-config.json:195,WebSocket,LOW,"WS heartbeat (30sec). 15-60sec range"
Performance,reconnectDelayMs,5000,integer,1000,30000,detection-config.json:196,WebSocket,LOW,"WS reconnect delay. 3-10sec recommended"
Performance,messageQueueSize,1000,integer,100,10000,detection-config.json:197,WebSocket,LOW,"WS message buffer. 500-2000 recommended"

Features,enableCrossMarketDetection,true,boolean,N/A,N/A,detection-config.json:207,Feature toggle,HIGH,"Enable cross-market correlation. Currently uses Math.random()"
Features,enableMicrostructureAnalysis,true,boolean,N/A,N/A,detection-config.json:208,Feature toggle,HIGH,"Enable orderbook analysis"
Features,enableStatisticalModels,true,boolean,N/A,N/A,detection-config.json:209,Feature toggle,MEDIUM,"Enable anomaly/trend detection"
Features,enableBacktesting,false,boolean,N/A,N/A,detection-config.json:210,Feature toggle,LOW,"Enable backtesting mode"
Features,enableWebDashboard,true,boolean,N/A,N/A,detection-config.json:211,Feature toggle,LOW,"Enable web dashboard"

Environment,logLevel,info,string,N/A,N/A,detection-config.json:201,Logging,LOW,"debug|info|warn|error. info for prod"
Environment,isDevelopment,false,boolean,N/A,N/A,detection-config.json:202,Environment,LOW,"Development mode flag"
Environment,enableDebugMode,false,boolean,N/A,N/A,detection-config.json:203,Debugging,LOW,"Extra debug logging"
Environment,enablePerformanceMode,true,boolean,N/A,N/A,detection-config.json:204,Performance,MEDIUM,"Performance optimizations"
